Episode | Reward  | Done Reason                         | Timestep Actions/Rewards
E1      | 15.77   | too far from path                   | -x       -z       -z       +0       +0       -z       -z       -x       +y       +0       -x       +z       -x       +y       +z       +y       +x       +z       +z       +0       -y       -z       -y       -y       -x       +z
        |         |                                     | -0.16    1.82     -1.09    0.91     0.92     1.14     1.05     1.27     1.24     1.24     1.34     1.24     1.15     -1.19    0.89     1.54     1.36     1.35     1.46     -0.53    1.41     1.76     1.92     1.91     1.80     -10.00

E2      | -8.20   | too far from path                   | -y       +z       -y
        |         |                                     | -0.04    1.85     -10.00

E3      | -6.29   | too far from path                   | -y       -z       +0       -x
        |         |                                     | -0.02    1.86     1.86     -10.00

E4      | -8.10   | too far from path                   | +z       -z       -x
        |         |                                     | -0.03    1.94     -10.00

E5      | -6.59   | too far from path                   | +z       -y       +0       -y
        |         |                                     | -0.03    1.72     1.72     -10.00

E6      | -6.18   | too far from path                   | +y       -z       -y
        |         |                                     | 1.89     1.93     -10.00

