Start Time,RLAlgo,Path,Mode,Distance Mode,Use Speed,Spoof,Check Path,Go Straight,Load,Notes
2023-05-12_17-44-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_17-51-00,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_17-55-00,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-12_18-13-25,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-27-44,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-50-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_11-55-49,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-02-20,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-04-15,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-07-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-09-51,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-50-40,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-54-30,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_12-56-04,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-01-11,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-04-06,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_13-06-27,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-20-53,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-22-49,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-25-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-32-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-36-20,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-37-52,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-45-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-47-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-53-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_14-57-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-03-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-13-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-15-57,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-17-53,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_15-35-11,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-00-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-24-58,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-52-26,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-15_16-54-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_10-45-10,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_10-52-50,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-41-55,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-51-13,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_11-53-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_12-16-28,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_12-28-08,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-01-32,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-05-19,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-13-17,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-16-42,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-22-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-26-23,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-36-12,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-16_14-56-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-21-37,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-26-36,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-36-48,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
2023-05-17_10-47-47,ppo,nh_0,train,dist2next,False,False,False,False,from scratch,
